pond,date,depth,dissolvedCO2_microMolar,dissolvedCH4_microMolar,dissolvedN2O_microMolar,season,flags
DCSW3,2022-02-09,Surface,93.5,1.47,0.0144,winter,
DCSW3,2022-02-09,Surface,98.3,1.61,0.0143,winter,
DCSW3,2022-02-09,Surface,94.4,1.4,0.014199999999999999,winter,
CAP,2022-02-09,Surface,382,80.9,0,winter,below N2O detection
CAP,2022-02-09,Surface,384,83,0,winter,below N2O detection
CAP,2022-02-09,Surface,384,81.3,0,winter,below N2O detection
KP,2022-02-10,Surface,3110,965,0,winter,below N2O detection
KP,2022-02-10,Surface,3090,1030,0,winter,below N2O detection
KP,2022-02-10,Surface,3110,989.0000000000001,0,winter,below N2O detection
O-S,2022-02-10,Surface,203,1.16,0.06470000000000001,winter,
O-S,2022-02-10,Surface,192,1.19,0.06459999999999999,winter,
O-S,2022-02-10,Surface,187,1.12,0.0626,winter,
O-N,2022-02-10,Surface,62.4,0.88,0.222,winter,
O-N,2022-02-10,Surface,61.3,0.764,0.222,winter,
O-N,2022-02-10,Surface,60.4,0.743,0.223,winter,
MDT,2022-02-10,Surface,121,0.9460000000000001,0.0119,winter,
MDT,2022-02-10,Surface,117,0.625,0.012499999999999999,winter,
MDT,2022-02-10,Surface,121,0.664,0.012499999999999999,winter,
DOBA8,2022-02-10,Surface,346,16.5,0,winter,below N2O detection
DOBA8,2022-02-10,Surface,344,16,0,winter,below N2O detection
DOBA8,2022-02-10,Surface,342,16.099999999999998,0,winter,below N2O detection
ELV,2022-02-10,Surface,12.799999999999999,41.6,0.025300000000000003,winter,
ELV,2022-02-10,Surface,14.1,33.300000000000004,0.0252,winter,
ELV,2022-02-10,Surface,11.399999999999999,49.9,0.0254,winter,
LM-ARB,2022-02-11,Surface,315,8.97,0.0225,winter,
LM-ARB,2022-02-11,Surface,301,8.84,0.023,winter,
LM-ARB,2022-02-11,Surface,321,9.13,0.0231,winter,
UM-ARB,2022-02-11,Surface,1170,207,0.0574,winter,
UM-ARB,2022-02-11,Surface,1180,193,0.061900000000000004,winter,
UM-ARB,2022-02-11,Surface,1170,208,0.061700000000000005,winter,
OPP-W,2022-02-11,Surface,651,35.2,0,winter,below N2O detection
OPP-W,2022-02-11,Surface,647,35.2,0,winter,below N2O detection
OPP-W,2022-02-11,Surface,592,30.599999999999998,0.00196,winter,
OPP-E,2022-02-11,Surface,330,3.95,0.00118,winter,
OPP-E,2022-02-11,Surface,327,4.54,0.0013399999999999998,winter,
OPP-E,2022-02-11,Surface,330,4.69,8.78e-4,winter,
DOBA7,2022-02-11,Surface,178,120,0.059800000000000006,winter,
DOBA7,2022-02-11,Surface,177,132,0.06,winter,
DOBA7,2022-02-11,Surface,176,130,0.0601,winter,
